machine_id,internal_temperature_c,probe_health_score_percent,error_count_30d,cooling_fan_rpm,power_consumption_w,voltage_fluctuation_v,daily_usage_hours,image_artifact_score_0_10,last_service_days_ago,target_days_to_failure
USM_007,38.5,100.0,4,2660,347.27,230.15,2.86,2.76,124,113
USM_020,34.7,94.9,4,3251,293.73,238.38,3.75,4.58,42,104
USM_015,41.2,100.0,3,2852,346.95,239.2,3.61,1.9,182,112
USM_011,36.2,100.0,6,2482,409.88,233.51,6.29,4.03,25,109
USM_008,36.4,93.1,5,2886,325.56,231.02,9.47,3.35,25,110
USM_007,42.5,93.2,6,2794,340.37,225.87,10.46,3.77,24,93
USM_019,38.8,97.1,5,2888,281.95,223.15,7.28,2.84,18,118
USM_011,43.1,100.0,6,2270,364.96,229.95,7.0,2.2,92,110
USM_011,40.0,100.0,5,2406,360.58,227.73,2.4,4.77,19,108
USM_004,38.8,93.3,5,3084,352.55,236.8,4.91,4.59,20,107
USM_008,34.3,93.6,4,3100,341.33,232.48,4.42,4.4,2,103
USM_003,37.8,100.0,6,3052,338.29,238.15,4.76,4.24,201,111
USM_002,38.2,88.3,6,3297,370.08,234.18,5.66,4.62,130,102
USM_012,36.4,97.7,4,2786,348.85,226.75,5.06,4.43,20,110
USM_006,39.2,100.0,3,2794,362.6,216.16,2.04,2.67,44,109
USM_002,37.3,100.0,5,2348,358.6,237.4,7.5,4.71,39,110
USM_001,40.3,100.0,5,2478,394.94,236.85,3.85,4.62,5,110
USM_012,42.6,99.5,5,2079,377.08,223.55,6.48,3.74,45,114
USM_012,39.2,93.7,6,2545,357.71,238.55,10.15,3.46,7,100
USM_017,42.7,100.0,4,2059,410.74,232.68,4.16,2.11,34,110
USM_010,34.8,100.0,4,2922,366.81,230.58,1.0,3.56,5,118
USM_016,36.9,97.0,7,2735,402.2,238.17,5.43,5.22,53,112
USM_015,41.6,100.0,3,2058,374.28,233.91,8.2,2.17,3,114
USM_015,45.2,87.9,7,2645,276.32,232.09,9.92,5.16,59,102
USM_019,44.4,95.3,4,3283,402.19,232.47,3.54,3.18,73,108
USM_012,48.2,100.0,5,2694,355.41,231.61,6.99,2.95,50,99
USM_020,39.8,93.9,3,2348,347.92,229.72,5.07,2.56,38,105
USM_003,40.9,96.3,4,2123,361.25,228.41,5.79,2.83,3,103
USM_005,38.7,96.8,7,2110,336.2,225.92,11.29,4.19,1,101
USM_019,35.7,100.0,5,2768,359.08,228.57,2.99,4.1,25,108
USM_007,42.5,97.9,7,2545,326.32,229.66,6.51,3.71,88,114
USM_009,38.6,100.0,3,2531,400.97,228.63,6.94,2.83,62,110
USM_007,47.0,93.4,4,2590,345.46,232.07,8.17,2.67,8,98
USM_018,35.7,100.0,4,2564,334.7,224.17,6.2,3.4,69,118
USM_004,43.6,100.0,4,2317,313.0,234.9,6.62,2.97,51,104
USM_014,37.3,100.0,6,2717,360.75,224.94,5.22,3.54,10,109
USM_018,38.4,100.0,6,2206,357.48,228.47,6.54,3.01,84,107
USM_009,43.5,100.0,5,2458,365.54,231.13,5.31,3.04,106,108
USM_002,39.1,100.0,5,2944,308.91,226.67,7.24,3.49,15,105
USM_020,39.3,100.0,5,2755,285.95,225.24,5.26,3.69,60,101
USM_015,38.4,98.9,7,2840,375.02,220.6,6.75,4.63,28,108
USM_007,48.6,89.5,9,3381,409.39,230.7,5.94,3.69,3,93
USM_012,39.6,100.0,5,2628,308.95,232.53,8.25,3.88,118,106
USM_008,41.7,95.2,7,2673,413.58,230.55,5.9,5.46,103,101
USM_015,39.8,92.4,5,2568,361.36,233.73,2.45,4.41,22,98
USM_003,43.0,100.0,5,2547,349.72,230.99,8.52,4.5,45,110
USM_014,38.6,100.0,4,2332,334.1,230.85,4.19,2.71,43,109
USM_017,40.4,100.0,3,2678,294.62,231.87,4.69,2.61,11,113
USM_004,42.8,100.0,4,2784,389.51,234.8,4.81,3.17,9,111
USM_018,38.7,91.4,4,2760,318.98,226.87,8.75,3.85,111,98
USM_008,44.8,98.8,7,2717,318.81,227.78,1.73,4.48,121,105
USM_004,47.8,96.0,4,3005,389.68,238.42,12.28,2.87,77,104
